Query,Act_Filter,Top_Act,Top_Section,Top_Score,Embed_ms,Query_ms,Rerank_ms,Total_ms
what is the role of the childrens' court?,,Children Act,2 – Interpretation,0.6977,1005.39,1454.36,0.0,2459.76
What are the types of marriages recognized under Kenyan law?,,Marriage Act,59 – Evidence of marriage,0.744,70.59,54.36,0.0,124.94
What makes a contract valid under Kenyan law?,,Employment Act,35 – Termination notice,0.7407,79.5,82.57,0.0,162.07
Can I evict a tenant without going through the court?,,Land Act,77 – Unlawful eviction,0.6508,199.48,216.01,0.0,415.49
Who can become the President of Kenya?,,Constitution of Kenya,131 – Authority of the President,0.7399,67.99,106.23,0.0,174.22
can damages be reduced if the deceased was partly at fault?,,Fatal Accidents Act,6 – Funeral expenses may be awarded,0.6757,129.26,134.87,0.0,264.13
Is the owner of a vehicle responsible if a passenger dies in a crash?,,Value Added Tax Act,"91 – Specially designed locally assembled motor vehicles for transportation of tourists, purchased before clearance through Customs by tour operators upon recommendation by the competent authority responsible for tourism promotion, provided the vehicles meet the following conditions—",0.6391,74.73,81.01,0.0,155.73
Are gifts and inheritances taxable?,,Law of Succession Act,40 – Gift of income for indefinite period,0.7003,60.78,57.99,0.0,118.76
Is interest earned from a savings account subject to income tax?,,Income Tax Act,3 – Charge of tax,0.674,74.33,46.81,0.0,121.15
How do I appeal a tax assessment I disagree with?,,Tax Procedures Act,52 – Appeal of appealable decision to the Tribunal,0.765,64.14,24.25,0.0,88.39
What does the Children Act say about adoption?,,Children Act,183 – Power to make adoption orders,0.7179,1315.21,1620.49,0.0,2935.7
What should I do if my employer doesn’t pay my salary,,Work Injury Benefits Act,37 – Manner of calculating earnings,0.664,203.47,35.41,0.0,238.88
Do interns have the same rights as employees?,,Constitution of Kenya,41 – Labour relations,0.6215,161.04,49.55,0.0,210.59
Who can apply for an adoption order?,,Children Act,191 – Inter-country adoptions,0.7369,128.02,11.13,0.0,139.15
What does the law say about maternity leave?,,Employment Act,29 – Maternity leave,0.7112,70.93,187.82,0.0,258.74
Can my employer reduce my salary without telling me?,,Employment Act,19 – Deduction of wages,0.6464,76.93,69.8,0.0,146.73
What is an easement?,,Land Act,149 – Power of courts to enforce public rights of way,0.7209,53.86,78.2,0.0,132.06
What is bail and how do I get it?,,Criminal Procedure Code,124 – Bail bond,0.6966,377.78,288.62,0.0,666.4
81196360,How can I report child abuse?,,Children Act,2 – Interpretation,0.6643,0.6643,1243.69,1422.84,0.0,2666.53
edfac6bc,Can a single person adopt a child in Kenya?,,Children Act,185 – Children who may be adopted,0.7919,0.7919,1123.07,1224.75,0.0,2347.83
8834397e,Can a single person adopt a child in Kenya?,,Children Act,185 – Children who may be adopted,0.7919,0.7919,1026.77,1564.02,0.0,2590.8
38ac8835,When does an offer become binding?,,Law of Succession Act,50 – Time in which conditions must be performed,0.6066,0.6066,1286.03,1772.9,0.0,3058.93
51798d3e,What is consideration in a contract?,,Income Tax Act,1 – Interpretation,0.6904,0.6904,152.55,139.33,0.0,291.88
449c0c2f,Who has the capacity to enter into a contract under Kenyan law?,,Income Tax Act,2 – Interpretation,0.7081,0.7081,184.25,114.48,0.0,298.73
c9c7a528,What does the Law of Contract Act (Cap. 23) provide?,,Law of Contract Act,Preamble – Preamble,0.7717,0.7717,188.96,55.49,0.0,244.45
56c0e91d,When is an offer terminated?,,Employment Act,42 – Termination of probationary contracts,0.6294,0.6294,119.43,72.09,0.0,191.53
e13dfe4a,Can an offer be revoked after acceptance?,,Children Act,78 – Establishment of rehabilitation schools,0.6338,0.6338,144.58,166.55,0.0,311.13
cfc0f606,Does email acceptance fall under the postal rule?,,Evidence Act,Preamble – Preamble,0.6304,0.6304,294.41,1299.69,0.0,1594.1
bdfeb1f2,Can a third party enforce a contract?,,Employment Act,88 – Saving of contracts of service made abroad,0.7027,0.7027,65.16,67.82,0.0,132.98
af0ce01d,What are exclusion clauses,,Employment Act,3 – Application,0.5978,0.5978,111.1,342.96,0.0,454.07
d30582bb,what are exlusion clauses,,Excise Duty Act,42 – Tax avoidance schemes,0.5929,0.5929,206.43,256.27,0.0,462.7
8b295024,What is a collateral contract?,,Law of Contract Act,Preamble – Preamble,0.5935,0.5935,68.6,138.51,0.0,207.1
9da02961,Does Kenyan law require contracts to be in writing?,,Law of Contract Act,2 – English law of contract to apply in Kenya.,0.7494,0.7494,78.75,139.49,0.0,218.24
30718821,How does the Law of Contract Act protect guarantors?,Law of Contract Act,1 – Short title.,This Act may be cited as the Law of Contract Act.,0.6503,0.6503,1065.15,1336.66,0.0,2401.8
