question,act
What is the name of the Act of Parliament to apply the English common law of contract to Kenya?,Law of Contract Act
What Act may be cited as the Law of Contract Act?,Law of Contract Act
"Where shall the provisions of section 74 of the Kenya Colony Order in Council, 1958, have effect, in relation to paragraph (2) of Article 4 of the Kenya Colony Order in Council, 1921?",Law of Contract Act
"What is the name of the Act No. 9 of 1872, L.N. 87/1964, Sch.]?",Law of Contract Act
What shall be brought upon a contract for the disposition of an interest in land?,Law of Contract Act
"What is the purpose of subsection (3) to apply to a contract made in the course of a public auction by an auctioneer within the meaning of the Auctioneers Act (Cap. 526), nor shall anything in that subsection affect the creation or operation of a resulting, implied or constructive trust?",Law of Contract Act
What is the meaning of a contract?,Law of Contract Act
"What is a type of contract that includes making one’s mark or writing one’s name or initial physical or by means of an advanced electronic signature on the instrument as an indication that one intends to bind himself to the contents of the instrument and in relation to a body corporate includes— (a) signing by an attorney of the body corporate duly appointed by a power of attorney registered under the Registration of Documents Act (Cap. 285); (b) the affixing of the common seal of the body corporate in accordance with the constitution or the articles of association of the body corporate, as the case may be, in which case no further attestation shall be required; (c) execution of the document in accordance with section 37 of the Companies Act (Cap. 486), for body corporates incorporated under the Companies Act (Cap. 486), for body corporates incorporated under the Companies Act (Cap. 486).?",Law of Contract Act
What are the provisions of subsection (3) that shall not apply to any agreement or contract made or entered into before the commencement of that subsection?,Law of Contract Act
"What does the Contract Act, 1872, of India (now repealed in its application to Kenya) apply to any agreement made or contract entered into before the commencement of this Act? [Act No. 9 of 1872, Act No. 3 of 1987, s. 10.] SCHEDULE [s. 2] APPLICABLE LAWS OF THE UNITED KINGDOM The Law Reform (Married Women and Tortfeasors) Act, 1935 (25 and 26 Geo. 5, Paragraphs (b) and (c) of section 1 in so far as they relate to contract, debt or obligation (not being a debt or obligation arising out of the commission of a tort). The Law Reform (Frustrated Contracts) Act, 1943 (6 & 7 Geo. 6, c. 40) The whole Act: Given that the reference in paragraph (c) of subsection (5) of section 2 to section seven of the Sale of Goods Act (Cap. 31) shall be construed as a reference to section 7?",Law of Contract Act
What is the legal basis of the sale of goods Act (Cap. 31)?,Law of Contract Act
